function,multimodality,globalstructure,separability,variablescaling,homogeneity,basinsizes,glcontrast,fungroup
1,none,strong,high,none,high,none,none,1
2,none,strong,high,high,high,none,none,1
3,high,strong,high,low,high,low,low,1
4,high,strong,high,low,high,medium,low,1
5,none,strong,high,low,high,none,none,1
6,none,strong,none,low,medium,none,none,2
7,none,strong,none,low,high,none,none,2
8,low,strong,none,low,medium,low,low,2
9,low,strong,none,low,medium,low,low,2
10,none,strong,none,high,high,none,none,3
11,none,strong,none,high,high,none,none,3
12,none,strong,none,high,high,none,none,3
13,none,strong,none,medium,medium,none,none,3
14,none,strong,none,medium,medium,none,none,3
15,high,strong,none,low,high,low,low,4
16,high,medium,none,medium,high,medium,low,4
17,high,medium,none,low,medium,medium,high,4
18,high,medium,none,high,medium,medium,high,4
19,high,strong,none,low,high,low,low,4
20,medium,deceptive,none,low,high,low,high,5
21,medium,none,none,medium,high,medium,low,5
22,low,none,none,high,high,medium,high,5
23,high,none,none,low,high,low,low,5
24,high,deceptive,none,low,high,low,low,5
